   5			  5			  14			0.01100
   5			 10			  40			0.02200
   5			 15			  65			0.03400
   5			 20			 122			0.07600
   5			 40			 232			0.12900
  10			  5			  30			0.02300
  10			 10			  95			0.06300
  10			 15			 118			0.06300
  10			 20			 157			0.10200
  10			 40			 398			0.22700
  15			  5			  39			0.03200
  15			 10			 110			0.08000
  15			 15			 161			0.11700
  15			 20			 244			0.18700
  15			 40			 487			0.30500
  20			  5			  46			0.05100
  20			 10			 138			0.16500
  20			 15			 223			0.24800
  20			 20			 317			0.31000
  20			 40			 645			0.60400
  25			  5			  71			0.08800
  25			 10			 154			0.20300
  25			 15			 301			0.43400
  25			 20			 328			0.43500
  25			 40			 825			0.84000
  30			  5			  69			0.11800
  30			 10			 197			0.33000
  30			 15			 273			0.44600
  30			 20			 413			0.65800
  30			 40			 961			1.96400
  35			  5			  84			0.18700
  35			 10			 239			0.68000
  35			 15			 393			1.02200
  35			 20			 478			1.26900
  35			 40			1034			2.54900
  40			  5			  96			0.47800
  40			 10			 271			1.17900
  40			 15			 377			1.50700
  40			 20			 562			2.60900
  40			 40			1184			4.51800
  45			  5			  97			0.52300
  45			 10			 241			1.37000
  45			 15			 498			4.00100
  45			 20			 595			3.90000
  45			 40			1333			8.42100
  50			  5			 108			1.08600
  50			 10			 345			3.95000
  50			 15			 432			3.90800
  50			 20			 761			8.02900
  50			 40			1644			19.82600
  55			  5			 117			1.45200
  55			 10			 325			5.07100
  55			 15			 504			6.52700
  55			 20			 747			9.64400
  55			 40			1438			19.38400
  60			  5			 141			3.57000
  60			 10			 352			6.86700
  60			 15			 568			11.78400
  60			 20			 789			17.33200
  60			 40			1478			28.13300
  65			  5			 137			3.29700
  65			 10			 376			12.16500
  65			 15			 576			18.10300
  65			 20			 800			23.30600
  65			 40			1836			58.61900
  70			  5			 137			5.55000
  70			 10			 421			16.15200
  70			 15			 659			27.05400
  70			 20			 860			29.85200
  70			 40			2012			83.01800
  75			  5			 168			8.25500
  75			 10			 381			17.39700
  75			 15			 656			30.74200
  75			 20			 965			46.06800
  75			 40			2092			113.07800
  80			  5			 165			11.00900
  80			 10			 480			32.61200
  80			 15			 718			46.39800
  80			 20			1015			66.92400
  80			 40			2142			132.53799
  85			  5			 151			10.99800
  85			 10			 430			34.17600
  85			 15			 683			56.11200
  85			 20			1057			94.85800
  85			 40			2256			187.83701
  90			  5			 195			21.06700
  90			 10			 474			49.49200
  90			 15			 849			90.20100
  90			 20			1246			142.20700
  90			 40			2572			276.42700
  95			  5			 187			22.81500
  95			 10			 570			76.44300
  95			 15			 828			104.24300
  95			 20			1220			158.62000
  95			 40			2582			357.78201
 100			  5			 194			30.36700
 100			 10			 521			84.97500
 100			 15			 980			159.35300
 100			 20			1157			176.13000
 100			 40			2746			444.14001
