DIM            DIFF         ESSAIS           TEMPS
   5			  0			 122			0.06700
   5			  5			 122			0.06900
   5			 10			 122			0.06900
   5			 15			 122			0.07700
   5			 20			 122			0.06400
   5			 40			  43			0.02700
   5			 60			  66			0.04300
   5			 80			  32			0.02200
  10			  0			 157			0.08500
  10			  5			 157			0.08200
  10			 10			 157			0.10000
  10			 15			 157			0.09900
  10			 20			 126			0.07600
  10			 40			  63			0.05400
  10			 60			  33			0.02100
  10			 80			  53			0.03300
  15			  0			 244			0.14800
  15			  5			 244			0.20000
  15			 10			 244			0.17200
  15			 15			 140			0.08600
  15			 20			 138			0.10500
  15			 40			 155			0.11300
  15			 60			  58			0.04400
  15			 80			  81			0.06100
  20			  0			 317			0.23000
  20			  5			 317			0.23700
  20			 10			 149			0.11900
  20			 15			 257			0.23300
  20			 20			  90			0.09600
  20			 40			  87			0.06900
  20			 60			  61			0.06200
  20			 80			 102			0.06900
  25			  0			 328			0.22600
  25			  5			 328			0.21300
  25			 10			 255			0.19000
  25			 15			 161			0.11700
  25			 20			 211			0.15000
  25			 40			 122			0.10300
  25			 60			 118			0.10500
  25			 80			 163			0.12900
  30			  0			 413			0.25500
  30			  5			 413			0.25800
  30			 10			 158			0.09900
  30			 15			 177			0.10800
  30			 20			 154			0.11200
  30			 40			 112			0.07900
  30			 60			 140			0.08900
  30			 80			 113			0.07200
  35			  0			 478			0.25100
  35			  5			 478			0.25900
  35			 10			 226			0.12800
  35			 15			 130			0.06900
  35			 20			 128			0.08600
  35			 40			 102			0.05500
  35			 60			 171			0.08800
  35			 80			 134			0.08000
  40			  0			 562			0.28800
  40			  5			 332			0.16400
  40			 10			 163			0.09100
  40			 15			 195			0.09800
  40			 20			 195			0.10200
  40			 40			 165			0.09100
  40			 60			 169			0.11100
  40			 80			 120			0.06500
  45			  0			 595			0.32600
  45			  5			 283			0.14700
  45			 10			 168			0.10000
  45			 15			 180			0.09700
  45			 20			 161			0.08300
  45			 40			 161			0.09400
  45			 60			 127			0.07300
  45			 80			 112			0.06300
  50			  0			 761			0.37100
  50			  5			 383			0.19800
  50			 10			 197			0.10400
  50			 15			 168			0.08800
  50			 20			 168			0.09200
  50			 40			 104			0.06200
  50			 60			 105			0.06700
  50			 80			 132			0.06600
  55			  0			 747			0.36300
  55			  5			 417			0.23000
  55			 10			 217			0.12300
  55			 15			 179			0.09900
  55			 20			 135			0.08100
  55			 40			 171			0.08900
  55			 60			 128			0.07800
  55			 80			 225			0.12000
  60			  0			 789			0.42100
  60			  5			 328			0.18800
  60			 10			 227			0.12700
  60			 15			 174			0.10800
  60			 20			 155			0.08700
  60			 40			 108			0.06800
  60			 60			 109			0.07100
  60			 80			 147			0.08900
  65			  0			 800			0.40500
  65			  5			 400			0.22100
  65			 10			 223			0.11900
  65			 15			 200			0.09600
  65			 20			 141			0.06500
  65			 40			 226			0.10400
  65			 60			 173			0.10000
  65			 80			 218			0.10700
  70			  0			 860			0.40200
  70			  5			 332			0.16000
  70			 10			 268			0.14100
  70			 15			 189			0.11200
  70			 20			 120			0.06600
  70			 40			 151			0.07400
  70			 60			 195			0.11400
  70			 80			 149			0.08000
  75			  0			 965			0.48100
  75			  5			 355			0.17900
  75			 10			 185			0.11000
  75			 15			 161			0.09500
  75			 20			 174			0.09700
  75			 40			 137			0.09200
  75			 60			 201			0.10200
  75			 80			 108			0.05800
  80			  0			1015			0.48000
  80			  5			 302			0.15300
  80			 10			 211			0.11800
  80			 15			 202			0.12300
  80			 20			 202			0.11500
  80			 40			 219			0.12900
  80			 60			 176			0.09800
  80			 80			 149			0.08200
  85			  0			1057			0.49800
  85			  5			 308			0.17900
  85			 10			 230			0.12300
  85			 15			 203			0.11400
  85			 20			 190			0.12500
  85			 40			 207			0.10100
  85			 60			  98			0.05700
  85			 80			 116			0.06100
  90			  0			1246			0.58600
  90			  5			 320			0.17200
  90			 10			 239			0.13200
  90			 15			 175			0.11000
  90			 20			 199			0.10700
  90			 40			 150			0.08000
  90			 60			 113			0.07400
  90			 80			 148			0.07800
  95			  0			1220			0.59900
  95			  5			 384			0.20400
  95			 10			 245			0.13600
  95			 15			 243			0.13500
  95			 20			 157			0.09900
  95			 40			 230			0.13000
  95			 60			 106			0.06400
  95			 80			 119			0.06500
 100			  0			1157			0.57400
 100			  5			 321			0.18100
 100			 10			 236			0.14000
 100			 15			 208			0.14000
 100			 20			 201			0.11000
 100			 40			 210			0.11400
 100			 60			 155			0.09900
 100			 80			 162			0.09200
